flight_id,year,month,day,date,dep_hour,dep_minute,carrier,airline_name,airline_type,flight_number,origin,dest,distance_mi,flight_type,cancelled,diverted,dep_delay_min,arr_delay_min,is_delayed,delay_cause,flight_time_min,taxi_out_min,taxi_in_min,gate_turnaround_min,wheels_off,wheels_on
1,2022,1,20,2022-01-20,16,30,B6,JetBlue Airways,LCC,B66520,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,29.0,6.0,38.0,1019.0,1062.0
2,2022,1,1,2022-01-01,13,15,AA,American Airlines,Legacy,AA2834,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,15.0,5.0,19.0,810.0,849.0
3,2022,1,30,2022-01-30,20,45,AA,American Airlines,Legacy,AA5586,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,34.0,8.0,37.0,1279.0,1317.0
4,2022,1,28,2022-01-28,8,45,AA,American Airlines,Legacy,AA8089,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,35.0,16.0,16.0,59.0,541.0,576.0
5,2022,1,29,2022-01-29,19,15,AA,American Airlines,Legacy,AA7992,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,13.0,9.0,45.0,1168.0,1213.0
6,2022,1,16,2022-01-16,14,15,AA,American Airlines,Legacy,AA2795,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,14.0,3.0,28.0,869.0,906.0
7,2022,1,24,2022-01-24,12,30,AA,American Airlines,Legacy,AA3204,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,18.0,8.0,56.0,768.0,805.0
8,2022,1,16,2022-01-16,7,30,AA,American Airlines,Legacy,AA7135,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,15.0,6.0,48.0,465.0,502.0
9,2022,1,13,2022-01-13,20,30,AA,American Airlines,Legacy,AA3257,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,15.0,5.0,53.0,1245.0,1284.0
10,2022,1,28,2022-01-28,6,15,AA,American Airlines,Legacy,AA5692,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,11.0,5.0,40.0,386.0,432.0
11,2022,1,7,2022-01-07,5,0,AA,American Airlines,Legacy,AA763,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,11.0,3.0,39.0,311.0,352.0
12,2022,1,15,2022-01-15,10,45,AA,American Airlines,Legacy,AA6628,IAH,DFW,239,Domestic,0,0,15.0,26.0,1,weather,41.0,17.0,7.0,42.0,677.0,718.0
13,2022,1,19,2022-01-19,6,0,AA,American Airlines,Legacy,AA6387,IAH,DFW,239,Domestic,0,0,15.0,15.0,1,nas,48.0,7.0,9.0,71.0,382.0,430.0
14,2022,1,1,2022-01-01,10,45,AA,American Airlines,Legacy,AA1834,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,11.0,6.0,58.0,656.0,701.0
15,2022,1,20,2022-01-20,10,0,AA,American Airlines,Legacy,AA362,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,19.0,13.0,49.0,619.0,656.0
16,2022,1,28,2022-01-28,17,15,DL,Delta Air Lines,Legacy,DL1254,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,34.0,31.0,11.0,34.0,1066.0,1100.0
17,2022,1,20,2022-01-20,5,45,AA,American Airlines,Legacy,AA8452,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,8.0,11.0,60.0,353.0,395.0
18,2022,1,4,2022-01-04,5,15,AA,American Airlines,Legacy,AA3546,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,19.0,7.0,35.0,334.0,379.0
19,2022,1,22,2022-01-22,15,15,B6,JetBlue Airways,LCC,B68096,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,48.0,14.0,10.0,49.0,929.0,977.0
20,2022,1,16,2022-01-16,20,45,AA,American Airlines,Legacy,AA1080,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,32.0,6.0,54.0,1277.0,1318.0
21,2022,1,23,2022-01-23,5,45,AA,American Airlines,Legacy,AA1509,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,8.0,4.0,35.0,353.0,398.0
22,2022,1,26,2022-01-26,18,45,AA,American Airlines,Legacy,AA4880,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,44.0,26.0,9.0,91.0,1151.0,1195.0
23,2022,1,20,2022-01-20,5,45,AA,American Airlines,Legacy,AA4877,IAH,DFW,239,Domestic,0,0,15.0,32.0,1,carrier,35.0,16.0,8.0,46.0,376.0,411.0
24,2022,1,6,2022-01-06,16,15,AA,American Airlines,Legacy,AA4242,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,26.0,6.0,50.0,1001.0,1042.0
25,2022,1,3,2022-01-03,9,45,AA,American Airlines,Legacy,AA2031,IAH,DFW,239,Domestic,0,0,25.0,42.0,1,weather,38.0,13.0,7.0,35.0,623.0,661.0
26,2022,1,21,2022-01-21,5,15,F9,Frontier Airlines,ULCC,F98230,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,35.0,15.0,14.0,57.0,330.0,365.0
27,2022,1,12,2022-01-12,17,30,AA,American Airlines,Legacy,AA4552,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,27.0,6.0,19.0,1077.0,1122.0
28,2022,1,23,2022-01-23,11,15,AA,American Airlines,Legacy,AA2939,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,16.0,5.0,50.0,691.0,738.0
29,2022,1,16,2022-01-16,6,0,AS,Alaska Airlines,Legacy,AS1166,IAH,DFW,239,Domestic,0,0,15.0,28.0,1,nas,44.0,16.0,9.0,57.0,391.0,435.0
30,2022,1,12,2022-01-12,14,45,AA,American Airlines,Legacy,AA3367,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,17.0,6.0,55.0,902.0,942.0
31,2022,1,26,2022-01-26,22,15,AA,American Airlines,Legacy,AA5204,IAH,DFW,239,Domestic,0,0,15.0,18.0,1,carrier,51.0,39.0,6.0,49.0,1389.0,1440.0
32,2022,1,7,2022-01-07,7,45,AA,American Airlines,Legacy,AA798,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,15.0,6.0,56.0,480.0,521.0
33,2022,1,19,2022-01-19,18,45,AA,American Airlines,Legacy,AA5688,IAH,DFW,239,Domestic,0,0,150.0,163.0,1,late_aircraft,37.0,23.0,8.0,35.0,1298.0,1335.0
34,2022,1,4,2022-01-04,22,30,F9,Frontier Airlines,ULCC,F96901,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,31.0,40.0,7.0,54.0,1390.0,1421.0
35,2022,1,15,2022-01-15,13,0,DL,Delta Air Lines,Legacy,DL3586,IAH,DFW,239,Domestic,0,0,15.0,11.0,1,carrier,47.0,17.0,6.0,61.0,812.0,859.0
36,2022,1,19,2022-01-19,13,15,AA,American Airlines,Legacy,AA8747,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,11.0,12.0,50.0,806.0,844.0
37,2022,1,29,2022-01-29,10,30,AA,American Airlines,Legacy,AA5448,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,14.0,8.0,45.0,644.0,689.0
38,2022,1,4,2022-01-04,6,30,UA,United Airlines,Legacy,UA7675,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,49.0,10.0,7.0,37.0,400.0,449.0
39,2022,1,28,2022-01-28,22,45,AA,American Airlines,Legacy,AA7202,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,16.0,7.0,25.0,1381.0,1418.0
40,2022,1,17,2022-01-17,10,0,AA,American Airlines,Legacy,AA5224,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,50.0,8.0,8.0,57.0,608.0,658.0
41,2022,1,23,2022-01-23,5,15,AS,Alaska Airlines,Legacy,AS8275,IAH,DFW,239,Domestic,0,0,61.0,72.0,1,weather,41.0,16.0,3.0,37.0,392.0,433.0
42,2022,1,23,2022-01-23,8,45,F9,Frontier Airlines,ULCC,F96700,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,15.0,3.0,37.0,540.0,586.0
43,2022,1,14,2022-01-14,5,30,AA,American Airlines,Legacy,AA4463,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,11.0,11.0,43.0,341.0,382.0
44,2022,1,1,2022-01-01,13,0,AA,American Airlines,Legacy,AA7041,IAH,DFW,239,Domestic,0,0,83.0,91.0,1,weather,37.0,23.0,11.0,23.0,886.0,923.0
45,2022,1,15,2022-01-15,20,30,AA,American Airlines,Legacy,AA237,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,12.0,10.0,52.0,1242.0,1284.0
46,2022,1,24,2022-01-24,18,15,DL,Delta Air Lines,Legacy,DL860,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,14.0,7.0,44.0,1109.0,1156.0
47,2022,1,23,2022-01-23,17,30,AA,American Airlines,Legacy,AA6877,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,21.0,9.0,45.0,1071.0,1117.0
